id,title,title_aliases,title_category,title_network,title_year,title_genre,title_cast,place_name,place_type,place_address,place_latitude,place_longitude,place_image_url,place_naver_url,scene_description,scene_image_url,source_url,last_updated,famous_rank,recent_rank,audience_acc,award,director,poster_url
st_04187,눈물의 여왕,Queen of Tears,drama,tvN,2024,로맨스,김수현;김지원,일월수목원,자연,경기 수원시 장안구 일월로 61,37.287781,126.976476,https://lh3.googleusercontent.com/place-photos/AG9NLjC6ISmIpfxQMsYSDHJ551xI3rVUSBouLdr2SAKLNQIyOgpEqTJv6S820K85yYmFk379fdcwfBXIwQEEFjuHWRAOiYaTp8ch8j8oHrYbTaS_JAjsVKwbv6G1cK1zzUb5n8udK5g5bSWDyrFnVQ=s4800-w800,https://map.naver.com/p/entry/place/1751677198,7화에서 백현우가 영숙이를 애타게 부르며 '나는 솔로'를 패러디하는 장면을 촬영한 곳입니다.,https://i.ytimg.com/vi/rWqHOkwK50c/hqdefault.jpg,https://kdramamap.com/location/%eb%88%88%eb%ac%bc%ec%9d%98%ec%97%ac%ec%99%95-%ec%9d%bc%ec%9b%94%ec%88%98%eb%aa%a9%ec%9b%90-7311/,2026-08-04,13,,,,김희원;장영우,https://image.tmdb.org/t/p/w500/3x8GHyMTMsuXVX8pZ1OhUUHgOBx.jpg
st_04123,눈물의 여왕,Queen of Tears,drama,tvN,2024,로맨스,김수현;김지원,옹달샘 합정감자탕,음식점,서울 마포구 독막로2길 9,37.548169,126.914809,https://lh3.googleusercontent.com/place-photos/AG9NLjC6GoLB-BSWlhTTADOxcQcurFckzzHUQTf68aZdzrsNoDvbtDjcfmAvmgVEwSwmKQGFxkp5QpEjeE20xTl_sL4fm0LE0nLnlvk8YDuxk6-ipXi0DJJXAf6W9iBX9hIkKtgGM1Sv6lsZN-tFKw=s4800-w800,https://map.naver.com/p/entry/place/37648635,3화에서 백현우가 친구 양기와 함께 감자탕을 먹는 장면을 촬영한 식당입니다.,https://image.tmdb.org/t/p/w780/5koZLly7ZdR5r0OWMhHUGfNhofR.jpg,https://kdramamap.com/location/%eb%88%88%eb%ac%bc%ec%9d%98%ec%97%ac%ec%99%95-%ec%98%b9%eb%8b%ac%ec%83%98-%ed%95%a9%ec%a0%95%ea%b0%90%ec%9e%90%ed%83%95-7247/,2026-08-04,13,,,,김희원;장영우,https://image.tmdb.org/t/p/w500/3x8GHyMTMsuXVX8pZ1OhUUHgOBx.jpg
st_04125,눈물의 여왕,Queen of Tears,drama,tvN,2024,로맨스,김수현;김지원,서강대교,다리,서울 영등포구 여의도동 83-2,37.538561,126.925698,https://lh3.googleusercontent.com/place-photos/AG9NLjBW7e2nL7q0AWZAzrRj369HKqacbnp6q2ybze8s2c2GUwdaonLSl-_hQHqSmoieAxLbZwGKf0i0JwQgmWLT9AYFJ5OYLk_t3UyYIoeo3Om6bwHLkIMgonerx-UBdeDuP5Ov206fBmod1Aw54Q=s4800-w800,https://map.naver.com/p/entry/place/18999808,15~16화에서 현우와 해인의 예전 데이트 장소로 다시 등장하는 곳입니다.,https://image.tmdb.org/t/p/w780/afvcLgsuydMFMPmEWo5x6ueta4K.jpg,https://kdramamap.com/location/%eb%88%88%eb%ac%bc%ec%9d%98%ec%97%ac%ec%99%95-%ec%84%9c%ea%b0%95%eb%8c%80%ea%b5%90-7249/,2026-08-04,13,,,,김희원;장영우,https://image.tmdb.org/t/p/w500/3x8GHyMTMsuXVX8pZ1OhUUHgOBx.jpg
st_20428,도깨비,Guardian: The Lonely and Great God;Goblin;쓸쓸하고 찬란하神-도깨비,drama,tvN,2016,판타지;멜로,공유;김고은;이동욱,북촌한옥마을,한옥마을,서울 종로구 북촌로 53,37.581768153833444,126.98481245064092,https://lh3.googleusercontent.com/place-photos/AG9NLjDMC-2uMufICrvu0992xyV2EDnnA2cVyQzK7MkocTVUeTBRxmOdETlw9rkQG-sviiPJjkpOzDbvwtIyyjJeB9DTTKI6U0YUyjg0Qb0H48wVIm4oESL44_MSSA2T-ha3COIYGkQNqbSnZ3wIUPc=s4800-w800,https://map.naver.com/p/entry/place/13034552,시간이 멈춘 장면에서 김신이 담벼락에 기대어 은탁을 바라보는 배경으로 등장한 곳입니다.,https://image.tmdb.org/t/p/w780/aoPVszif9WMtI0bG4YdIt9Ba5bW.jpg,https://1004nurse.com/entry/도깨비-촬영지-탐방-캐나다-인천-서울,2026-08-04,8,,,,윤종호;권혁찬;이응복,https://image.tmdb.org/t/p/w500/qZMEiTsNlCQV27hHQE27ZtlPWyv.jpg
st_05198,도깨비,Guardian: The Lonely and Great God;Goblin;쓸쓸하고 찬란하神-도깨비,drama,tvN,2016,판타지;멜로,공유;김고은;이동욱;유인나,인천아트플랫폼,명소,인천 제물포구 제물량로218번길 3,37.472789,126.620609,https://lh3.googleusercontent.com/place-photos/AG9NLjAiQe1-xcmWF1xksEYGBcOWMjJh2UTh_TM8mYSLED8kfWzHQe8u3GvlmGJhK0CfO6isTTW047bBi-AQXHfYZN2RWaypUYBpIdmBCMYtkmhC-fXpp6haZ_1dj8t_tTwfjjqV_TWzwYJDIYb8jg=s4800-w800,https://map.naver.com/p/entry/place/13315483,14화에서 김신(공유)과 지은탁(김고은)이 한미서점에서 만난 뒤 함께 산책하는 곳으로 등장합니다.,https://i.ytimg.com/vi/n3FtrIvDe0A/hqdefault.jpg,https://kdramamap.com/location/%eb%8f%84%ea%b9%a8%eb%b9%84-%ec%9d%b8%ec%b2%9c%ec%95%84%ed%8a%b8%ed%94%8c%eb%9e%ab%ed%8f%bc-539/,2026-08-04,8,,,,윤종호;권혁찬;이응복,https://image.tmdb.org/t/p/w500/qZMEiTsNlCQV27hHQE27ZtlPWyv.jpg
st_05200,도깨비,Guardian: The Lonely and Great God;Goblin;쓸쓸하고 찬란하神-도깨비,drama,tvN,2016,판타지;멜로,공유;김고은;이동욱;유인나,순보석,상점,인천 제물포구 신포로 27,37.471420,126.624939,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Sinpo-market.jpg/960px-Sinpo-market.jpg,https://map.naver.com/p/entry/place/16341070,4화 배경에 짧게 등장하는 인천 신포동의 보석상입니다.,https://image.tmdb.org/t/p/w780/ljcF5zpTfYCOfxQZdwVkjsBZBGO.jpg,https://kdramamap.com/location/%eb%8f%84%ea%b9%a8%eb%b9%84-%ec%88%9c%eb%b3%b4%ec%84%9d-541/,2026-08-04,8,,,,윤종호;권혁찬;이응복,https://image.tmdb.org/t/p/w500/qZMEiTsNlCQV27hHQE27ZtlPWyv.jpg
st_20826,이태원 클라쓰,Itaewon Class,drama,JTBC,2020,청춘 드라마,박서준;김다미;유재명,일월수목원,공원,경기 수원시 장안구 일월로 61,37.2877810107055,126.976476031701,https://lh3.googleusercontent.com/place-photos/AG9NLjC6ISmIpfxQMsYSDHJ551xI3rVUSBouLdr2SAKLNQIyOgpEqTJv6S820K85yYmFk379fdcwfBXIwQEEFjuHWRAOiYaTp8ch8j8oHrYbTaS_JAjsVKwbv6G1cK1zzUb5n8udK5g5bSWDyrFnVQ=s4800-w800,https://map.naver.com/p/entry/place/1751677198,극 중 수아와 새로이가 전화번호를 주고받고 새로이가 수줍게 뛰어가는 장면을 촬영한 곳입니다.,https://image.tmdb.org/t/p/w780/uYWfqH69A4rFEzgYT2xvYB6DWDD.jpg,https://traveltodrama.com/itaewon-class-filming-locations-guide/,2026-08-04,57,,,,Kim Seong-yoon,https://image.tmdb.org/t/p/w500/2tTMci6Hq99gkagpYe19RulNXRr.jpg
st_15312,이태원 클라쓰,Itaewon Class,drama,JTBC,2020,청춘 드라마,박서준;김다미;권나라;유재명,퀸스파크청담점,음식점,서울 강남구 압구정로60길 22,37.525984,127.041610,https://lh3.googleusercontent.com/place-photos/AG9NLjCwUI-WrXMHCdZnutTOUNBWpBCpeam_gHVWhgvvAb5GtjVWLFct79teT4pBdRG8ZlgdylWs0GiiKHqn6ARaqxFQ-_8rRiJ2RzCbEwbCvEliNCAVkPaYGD0P-PlUxZi7UO8wxZB-sWQWsqCgEg=s4800-w800,https://map.naver.com/p/entry/place/38733965,오수아(권나라)가 장가를 그만두고 차린 식당 '퀸즈팔레'로 등장한 곳입니다.,https://image.tmdb.org/t/p/w780/rtYQCa2NzX8RspbOmwfAla6BemO.jpg,https://kdramamap.com/location/%ec%9d%b4%ed%83%9c%ec%9b%90%ed%81%b4%eb%9d%bc%ec%93%b0-%ed%80%b8%ec%8a%a4%ed%8c%8c%ed%81%ac%ec%b2%ad%eb%8b%b4%ec%a0%90-2063/;https://traveltodrama.com/itaewon-class-filming-locations-guide/,2026-08-04,57,,,,Kim Seong-yoon,https://image.tmdb.org/t/p/w500/2tTMci6Hq99gkagpYe19RulNXRr.jpg
st_15313,이태원 클라쓰,Itaewon Class,drama,JTBC,2020,청춘 드라마,박서준;김다미;권나라;유재명,오토바이사고거리,거리,서울 마포구 성암로 13길 36,37.576566,126.897119,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Above_door_display_on_AREX_Class_2000.jpg/960px-Above_door_display_on_AREX_Class_2000.jpg,https://map.naver.com/p/entry/place/1482646633,장근원이 조작한 오토바이를 타던 최승권을 박새로이가 구해 주며 처음 인연을 맺는 장면의 배경입니다.,https://image.tmdb.org/t/p/w780/vhPPDY20VyKKZSWX3QhDBgpBbHJ.jpg,https://kdramamap.com/location/%ec%9d%b4%ed%83%9c%ec%9b%90%ed%81%b4%eb%9d%bc%ec%93%b0-%ec%98%a4%ed%86%a0%eb%b0%94%ec%9d%b4%ec%82%ac%ea%b3%a0%ea%b1%b0%eb%a6%ac-2064/,2026-08-04,57,,,,Kim Seong-yoon,https://image.tmdb.org/t/p/w500/2tTMci6Hq99gkagpYe19RulNXRr.jpg
mv_6958_02,케이팝 데몬 헌터스,KPop Demon Hunters;K-Pop Demon Hunters;케데헌;KPDH;KDH,movie,넷플릭스,2025,애니메이션;판타지,아덴 조;메이 홍;유지영,북촌한옥마을,한옥마을,서울 종로구 북촌로 53,37.581768153833444,126.98481245064092,https://lh3.googleusercontent.com/place-photos/AG9NLjDMC-2uMufICrvu0992xyV2EDnnA2cVyQzK7MkocTVUeTBRxmOdETlw9rkQG-sviiPJjkpOzDbvwtIyyjJeB9DTTKI6U0YUyjg0Qb0H48wVIm4oESL44_MSSA2T-ha3COIYGkQNqbSnZ3wIUPc=s4800-w800,https://map.naver.com/p/entry/place/13034552,극 중 루미와 진우가 밤에 만나 정을 나누며 듀엣곡 'Free'를 부르는 장면의 배경이 된 한옥마을입니다.,https://i.ytimg.com/vi/QChwUPA8bwU/hqdefault.jpg,https://mediahub.seoul.go.kr/archives/2015071;https://www.econovill.com/news/articleView.html?idxno=717264,2026-08-04,,,,2026 아카데미 장편애니메이션상·주제가상(Golden);2026 골든글로브 최우수 애니메이션상;제68회 그래미 영상매체음악상(Golden);제53회 애니 어워드 작품상·감독상 등 10관왕,크리스 아펠한스;매기 강,https://image.tmdb.org/t/p/w500/5fqcLmrgVDicMuGLOa9PKErFP72.jpg
